[2025-05-04 18:49:20,914][INFO] Starting sequential optimization...
[2025-05-04 18:49:20,914][INFO] Testing 90 parameter combinations
[2025-05-04 18:49:47,504][INFO] Completed backtest for params {'rsi_period': 10, 'overbought': 60, 'oversold': 20, 'wait_period': 5}: Sharpe Ratio = -17.1770
[2025-05-04 18:50:12,017][INFO] Completed backtest for params {'rsi_period': 10, 'overbought': 60, 'oversold': 20, 'wait_period': 10}: Sharpe Ratio = -14.7558
[2025-05-04 18:50:35,827][INFO] Completed backtest for params {'rsi_period': 10, 'overbought': 60, 'oversold': 20, 'wait_period': 15}: Sharpe Ratio = -10.7959
[2025-05-04 18:51:02,302][INFO] Completed backtest for params {'rsi_period': 10, 'overbought': 60, 'oversold': 25, 'wait_period': 5}: Sharpe Ratio = -22.0309
[2025-05-04 18:51:29,883][INFO] Completed backtest for params {'rsi_period': 10, 'overbought': 60, 'oversold': 25, 'wait_period': 10}: Sharpe Ratio = -19.1371
[2025-05-04 18:51:55,058][INFO] Completed backtest for params {'rsi_period': 10, 'overbought': 60, 'oversold': 25, 'wait_period': 15}: Sharpe Ratio = -12.8574
[2025-05-04 18:52:22,013][INFO] Completed backtest for params {'rsi_period': 10, 'overbought': 60, 'oversold': 30, 'wait_period': 5}: Sharpe Ratio = -27.9867
[2025-05-04 18:52:47,121][INFO] Completed backtest for params {'rsi_period': 10, 'overbought': 60, 'oversold': 30, 'wait_period': 10}: Sharpe Ratio = -23.2510
[2025-05-04 18:53:13,372][INFO] Completed backtest for params {'rsi_period': 10, 'overbought': 60, 'oversold': 30, 'wait_period': 15}: Sharpe Ratio = -17.1367
[2025-05-04 18:53:38,965][INFO] Completed backtest for params {'rsi_period': 10, 'overbought': 65, 'oversold': 20, 'wait_period': 5}: Sharpe Ratio = -17.2485
[2025-05-04 18:54:04,017][INFO] Completed backtest for params {'rsi_period': 10, 'overbought': 65, 'oversold': 20, 'wait_period': 10}: Sharpe Ratio = -15.0311
[2025-05-04 18:54:28,375][INFO] Completed backtest for params {'rsi_period': 10, 'overbought': 65, 'oversold': 20, 'wait_period': 15}: Sharpe Ratio = -12.2400
[2025-05-04 18:54:53,257][INFO] Completed backtest for params {'rsi_period': 10, 'overbought': 65, 'oversold': 25, 'wait_period': 5}: Sharpe Ratio = -21.2052
[2025-05-04 18:55:17,414][INFO] Completed backtest for params {'rsi_period': 10, 'overbought': 65, 'oversold': 25, 'wait_period': 10}: Sharpe Ratio = -18.7043
